L2_CODE,L0_CODE,L0_NAME,L1_CODE,L1_NAME,L2_NAME,total_gdp,geo_level,wb_status,sovereign,Disputed,year
AFG288,AFG1,Afghanistan,AFG24,Nuristan,Barg-e- Matal,20.358047869764302,2.0,Member State,AFG,ND,2022
AFG289,AFG1,Afghanistan,AFG24,Nuristan,Du Ab,19.71044379028838,2.0,Member State,AFG,ND,2022
AFG29,AFG1,Afghanistan,AFG2,Badghis,Ab Kamari,177.15570872869583,2.0,Member State,AFG,ND,2022
AFG290,AFG1,Afghanistan,AFG24,Nuristan,Kamdesh,35.67209154203783,2.0,Member State,AFG,ND,2022
AFG291,AFG1,Afghanistan,AFG24,Nuristan,Mandol,21.16602960405744,2.0,Member State,AFG,ND,2022
AFG292,AFG1,Afghanistan,AFG24,Nuristan,Nurgaram,45.12338445235047,2.0,Member State,AFG,ND,2022
AFG293,AFG1,Afghanistan,AFG24,Nuristan,Poruns,27.818764517776458,2.0,Member State,AFG,ND,2022
AFG294,AFG1,Afghanistan,AFG24,Nuristan,Wama,17.04615041148156,2.0,Member State,AFG,ND,2022
AFG295,AFG1,Afghanistan,AFG24,Nuristan,Waygal,33.46122314382803,2.0,Member State,AFG,ND,2022
AFG296,AFG1,Afghanistan,AFG25,Paktika,Bermel (Burmul),67.3109147678226,2.0,Member State,AFG,ND,2022
AFG297,AFG1,Afghanistan,AFG25,Paktika,Dila,37.74210794048378,2.0,Member State,AFG,ND,2022
AFG298,AFG1,Afghanistan,AFG25,Paktika,Gian,51.78306223903092,2.0,Member State,AFG,ND,2022
AFG299,AFG1,Afghanistan,AFG25,Paktika,Gomal,22.234887546471832,2.0,Member State,AFG,ND,2022
